CONTROLN,HIT,MALEMILI,MALEVET,VIETVETS,WWIIVETS,LOCALGOV,STATEGOV,FEDGOV,LONGEVITY,AGE,RAMNTALL,NGIFTALL,AVGGIFT,PROP_RESP_CARDPROM,HHAGE3,HV2,HVP4,IC5,EC4
211,0,0,40,11,54,19,8,1,155,51.0,2.87,2.4,1.1958333333,0.17777777777777778,82,825,78,4027,29
213,6,0,37,9,63,5,9,0,131,57.0,3.28,1.3,2.5230769231,0.24324324324324326,26,1527,97,21740,30
223,4,0,0,0,0,0,0,0,131,49.0,3.29,6.0,0.54833333333,0.525,23,796,46,18264,29
228,0,0,43,23,44,10,2,1,131,65.0,2.7,1.6,1.6875,0.3333333333333333,52,951,75,15669,27
238,0,0,24,8,42,4,5,4,131,86.0,2.92,3.6,0.81111111111,0.275,24,1098,79,25872,12
239,2,0,37,32,28,8,6,1,131,86.0,2.89,1.8,1.6055555555999999,0.2777777777777778,22,644,26,12713,31
242,0,0,39,35,28,1,2,5,131,43.0,2.7,1.0,2.7,0.16,10,1546,94,16767,33
253,2,0,0,0,0,0,0,0,131,68.0,3.94,1.0,3.94,0.08,59,2600,99,25838,30
267,0,0,0,0,0,0,0,0,107,26.0,3.62,3.0,1.2066666667,0.2,24,3928,99,34806,12
275,0,0,37,39,37,14,1,5,131,49.0,3.61,4.4,0.82045454545,0.21052631578947367,49,327,2,8945,39
285,0,0,25,0,63,9,3,1,131,51.0,3.0,1.1,2.7272727273,0.19230769230769232,7,1162,96,22905,12
307,23,0,37,66,0,3,10,6,167,61.0,5.94,4.3,1.3813953488,0.4782608695652174,6,499,1,12437,33
338,23,4,29,39,23,0,9,3,131,79.0,4.76,1.4,3.4,0.25925925925925924,20,1862,91,28584,31
348,0,0,30,34,25,3,18,0,167,17.0,1.07,2.7,0.39629629629999996,0.2647058823529412,31,342,3,11503,39
356,1,0,26,27,36,4,5,0,179,87.0,2.98,5.0,0.596,0.5238095238095238,44,570,18,14335,32
358,0,2,33,18,36,8,1,3,143,79.0,1.24,3.7,0.33513513514,0.35294117647058826,4,2572,99,23937,7
362,2,0,51,26,33,10,12,5,179,83.0,0.88,3.5,0.25142857143,0.41025641025641024,43,1088,77,24445,25
364,0,0,20,18,0,6,6,0,95,59.0,2.84,2.1,1.3523809524000001,0.15384615384615385,41,3211,99,18262,21
367,1,0,40,29,48,2,13,2,179,64.0,2.36,4.3,0.5488372093,0.525,36,697,31,10742,39
368,1,0,43,28,41,12,6,4,179,75.0,2.47,3.8,0.65,0.5238095238095238,21,2240,99,17885,26
381,3,0,41,44,18,4,7,2,131,63.0,3.46,2.0,1.73,0.2647058823529412,13,631,29,11100,43
382,4,0,24,23,34,3,4,0,83,17.0,2.56,1.3,1.9692307692,0.16666666666666666,33,721,36,16434,28
398,0,0,32,36,48,2,1,2,131,49.0,2.0,0.7,2.8571428571,0.0625,30,5647,99,65079,4
409,2,0,46,19,27,6,3,1,131,69.0,2.69,1.0,2.69,0.15384615384615385,22,868,76,16100,29
429,0,1,17,28,30,4,2,0,179,59.0,5.3888,4.0,1.3472,0.35555555555555557,6,597,15,14742,23
437,0,0,25,27,30,20,4,0,119,85.0,2.73,1.5,1.8199999999999998,0.1935483870967742,38,488,8,12129,28
439,20,0,29,8,68,5,3,1,107,81.0,3.87,2.5,1.548,0.22857142857142856,27,1464,78,23557,33
456,5,0,30,37,48,2,2,12,107,80.0,4.29,2.2,1.95,0.26666666666666666,13,1458,89,11177,12
470,6,0,48,0,91,9,0,0,131,84.0,4.0558,3.1,1.3083225806,0.2631578947368421,27,1242,73,16066,23
471,0,0,32,23,33,9,0,2,71,73.0,2.5,0.5,5.0,0.09523809523809523,13,818,53,15537,35
490,15,0,26,24,33,1,3,1,179,54.0,2.42,3.0,0.80666666667,0.28205128205128205,7,1515,98,22869,17
503,0,0,50,21,50,5,13,8,131,56.0,3.58,1.8,1.9888888889,0.25925925925925924,33,789,47,14557,27
512,2,3,17,39,29,13,6,6,131,75.0,4.31,3.8,1.1342105263,0.2702702702702703,18,478,8,5404,21
513,0,0,38,28,28,6,0,9,119,49.0,1.65,3.4,0.48529411764999997,0.358974358974359,32,407,2,9197,33
515,0,6,34,31,33,10,4,8,131,77.0,2.67,2.0,1.335,0.2962962962962963,21,703,30,10778,27
519,1,0,39,5,60,15,2,1,143,7.0,3.36,2.1,1.6,0.34146341463414637,36,1217,97,16276,23
520,0,0,69,0,64,24,7,0,131,65.0,3.29,1.7,1.9352941175999998,0.19444444444444445,76,1438,50,14434,36
543,0,0,14,27,30,6,9,1,119,16.0,1.58,1.5,1.0533333333,0.2,21,846,71,17862,21
546,0,4,32,0,71,2,0,0,131,84.0,1.3,0.5,2.6,0.15789473684210525,19,2787,99,30648,18
563,0,9,34,15,21,1,0,6,155,55.0,2.63,1.2,2.1916666666999998,0.17647058823529413,23,5261,93,36756,17
569,3,0,21,34,48,17,3,4,167,73.0,1.25,3.9,0.32051282050999996,0.4117647058823529,22,588,11,12189,19
582,11,0,23,32,49,8,7,2,59,62.0,0.75,0.2,3.75,0.125,31,1748,91,19715,9
583,0,0,0,0,0,0,0,0,179,76.0,1.44,3.3,0.43636363636000003,0.21621621621621623,38,331,4,8520,32
591,2,0,58,5,86,6,3,0,155,80.0,3.15,1.2,2.625,0.13953488372093023,78,772,39,14751,47
592,0,0,34,18,29,5,7,1,179,7.0,5.03,2.8,1.7964285714000003,0.2826086956521739,46,782,55,17862,31
614,1,24,42,46,7,3,3,16,119,49.0,2.4,0.7,3.4285714286,0.14285714285714285,3,715,28,9652,32
627,0,0,0,0,0,0,0,0,179,49.0,3.15,3.9,0.80769230769,0.25,30,587,23,15866,31
634,0,0,19,71,10,9,0,3,179,49.0,2.35,4.7,0.5,0.4878048780487805,29,1570,97,10580,39
638,0,0,40,23,46,10,11,3,179,67.0,4.91,2.3,2.1347826087,0.3333333333333333,39,266,2,8842,38
644,1,0,35,22,40,6,0,4,107,56.0,1.75,0.7,2.5,0.07407407407407407,31,519,11,10660,35
647,1,0,47,24,54,6,3,2,119,49.0,1.45,0.5,2.9,0.05555555555555555,32,1100,70,17187,40
666,2,0,65,10,86,0,0,0,155,27.0,7.64,2.0,3.8200000000000003,0.20930232558139536,12,648,31,7681,35
683,0,2,33,34,14,4,3,2,179,79.0,2.47,5.2,0.475,0.5098039215686274,5,2460,99,26427,18
690,0,0,28,35,24,8,6,4,119,57.0,1.25,0.5,2.5,0.1111111111111111,17,682,31,12180,40
700,3,0,30,24,40,4,7,1,179,49.0,5.44,5.3,1.0264150942999999,0.5531914893617021,36,407,6,9606,26
703,2,1,26,32,23,7,7,8,119,62.0,3.25,2.9,1.1206896552,0.3333333333333333,4,1546,99,33745,8
714,0,1,18,43,25,6,2,4,119,33.0,4.53,3.0,1.51,0.358974358974359,13,2103,98,13430,23
718,3,1,33,46,26,9,3,4,143,75.0,3.61,1.6,2.25625,0.12903225806451613,20,1312,92,12319,27
748,4,0,0,0,0,0,0,0,167,35.0,1.82,3.5,0.52,0.38095238095238093,9,1902,97,13358,37
768,0,0,16,36,14,3,2,1,179,71.0,2.72,3.0,0.90666666667,0.30952380952380953,17,507,10,8633,51
782,0,0,26,32,28,7,4,1,179,27.0,5.94,4.1,1.4487804878000001,0.38,27,420,5,10327,45
783,7,0,24,35,28,5,2,1,107,56.0,2.0,0.6,3.3333333332999997,0.17391304347826086,9,1481,90,26375,24
788,14,0,30,36,45,17,7,6,107,49.0,1.4,0.5,2.8,0.15,20,911,68,13208,21
789,0,0,40,31,42,6,3,5,107,17.0,0.9,1.4,0.64285714286,0.20833333333333334,26,1847,99,39528,25
796,0,22,39,31,35,5,14,16,107,32.0,3.31,1.1,3.0090909091,0.19047619047619047,26,750,24,13554,35
804,8,20,36,57,18,3,11,13,179,7.0,1.14,2.5,0.45599999999999996,0.21052631578947367,6,1296,96,17179,26
838,2,0,34,33,34,3,3,5,107,59.0,1.75,0.7,2.5,0.15384615384615385,8,1665,99,22045,15
879,2,0,30,10,44,11,0,0,107,53.0,1.7,0.4,4.25,0.10526315789473684,24,5373,99,37923,10
882,0,1,32,32,32,7,3,3,119,49.0,2.72,2.7,1.0074074074000001,0.2702702702702703,18,1325,81,14522,32
911,0,0,41,14,58,6,7,3,107,53.0,1.27,0.5,2.54,0.058823529411764705,42,524,19,12183,35
912,7,0,34,47,29,10,3,3,107,53.0,2.88,1.8,1.6,0.10344827586206896,24,734,30,12829,23
924,0,0,23,35,37,9,4,3,107,29.0,1.7,0.5,3.4,0.0625,16,2193,98,14442,26
945,8,0,37,21,47,3,8,0,107,7.0,3.24,1.9,1.7052631579,0.2,44,531,11,11918,28
999,0,0,0,0,0,0,0,0,119,74.0,3.81,2.4,1.5875,0.34285714285714286,3,3750,99,27400,15
1007,0,0,29,36,31,3,2,2,179,65.0,2.76,4.6,0.6,0.5555555555555556,28,312,3,7906,32
1013,1,0,0,0,0,0,0,0,107,36.0,3.12,3.0,1.04,0.45454545454545453,19,5444,99,43087,9
1014,1,0,34,28,35,8,3,2,131,55.0,3.51,2.0,1.7550000000000001,0.2571428571428571,18,2243,98,14619,23
1015,0,0,19,23,23,10,2,3,119,27.0,5.77,2.2,2.6227272726999997,0.17073170731707318,14,2242,99,17425,23
1027,0,0,38,13,32,6,4,6,143,80.0,2.8,1.8,1.5555555556,0.30303030303030304,34,4352,99,37622,11
1029,1,1,25,29,23,1,2,1,107,40.0,3.16,1.8,1.7555555555999998,0.3,7,3357,99,52302,9
1030,0,0,34,45,27,13,3,2,179,38.0,2.69,5.0,0.538,0.6666666666666666,19,468,5,10114,37
1034,16,0,55,17,63,11,8,2,119,49.0,2.71,2.2,1.2318181818,0.22857142857142856,39,1491,90,17990,17
1048,4,0,39,46,32,9,15,0,179,50.0,2.02,2.9,0.69655172414,0.4,20,610,27,10739,27
1068,0,0,36,27,28,11,5,3,179,66.0,2.65,4.3,0.61627906977,0.7352941176470589,10,3549,99,25564,19
1078,0,0,26,24,36,3,4,1,179,37.0,1.05,4.0,0.2625,0.5526315789473685,33,522,17,9665,29
1091,0,0,28,28,43,6,5,1,179,49.0,3.75,5.8,0.64655172414,0.5813953488372093,30,414,8,8673,33
1100,26,0,0,0,0,0,0,0,131,54.0,3.35,1.7,1.9705882353,0.3,25,4607,97,25850,24
1112,0,0,0,0,0,0,0,0,155,36.0,4.7008,3.4,1.3825882352999999,0.4482758620689655,0,0,0,0,0
1133,5,0,34,37,13,7,0,2,179,47.0,3.3,1.3,2.5384615385,0.2,3,1842,99,25554,11
1172,0,1,29,38,37,6,1,2,143,51.0,6.06,2.4,2.525,0.40540540540540543,31,3157,99,26414,18
1187,3,0,33,29,20,5,16,8,179,73.0,1.96,2.9,0.67586206897,0.4166666666666667,16,308,2,6458,15
1212,0,0,25,44,21,9,3,3,83,49.0,1.02,0.4,2.55,0.09523809523809523,25,2230,94,14136,22
1230,0,0,0,0,0,0,0,0,71,49.0,1.98,0.7,2.8285714285999997,0.041666666666666664,13,1000,75,12180,29
1244,5,0,21,25,29,3,2,3,59,17.0,0.36,0.5,0.72,0.4,26,960,67,23376,22
1278,31,0,24,55,6,3,2,2,143,53.0,3.25,1.0,3.25,0.20689655172413793,6,1528,98,18207,25
1280,18,0,24,49,12,5,3,1,179,71.0,2.82,1.3,2.1692307691999995,0.20588235294117646,3,2223,98,20138,20
1287,0,0,0,0,0,0,0,0,107,49.0,1.55,0.6,2.5833333333,0.08,0,0,0,0,0
1290,1,0,26,26,28,5,2,2,143,17.0,1.97,6.6,0.29848484848,0.675,30,381,6,9799,41
1298,0,0,27,15,67,7,12,0,131,79.0,3.11,2.2,1.4136363635999998,0.23684210526315788,25,2849,98,17969,29
1319,0,1,14,90,10,5,16,1,107,33.0,1.45,0.6,2.4166666667,0.10714285714285714,3,956,63,16806,13
1326,0,0,31,2,66,3,3,2,179,47.0,3.09,2.6,1.1884615385,0.3333333333333333,36,1428,96,15443,30
1328,0,0,16,0,99,64,0,0,155,41.0,4.38,2.0,2.19,0.17777777777777778,10,1598,85,7932,74
1359,0,0,30,28,33,6,10,4,143,49.0,3.15,3.7,0.85135135135,0.3170731707317073,25,293,3,8947,46
1364,0,0,28,25,25,2,4,0,179,17.0,4.05,2.3,1.7608695652000002,0.2608695652173913,18,548,16,10823,34
1365,0,4,22,58,6,10,9,8,179,49.0,2.46,3.0,0.82,0.2978723404255319,4,798,37,11909,24
1387,0,0,13,0,99,0,10,0,179,49.0,2.4621,4.2,0.58621428571,0.4897959183673469,26,513,0,8622,28
1396,0,19,38,31,18,6,3,11,155,49.0,3.52,2.4,1.4666666667000001,0.35294117647058826,46,957,46,15385,36
1400,18,1,33,54,21,4,4,6,179,49.0,1.57,2.9,0.5413793103400002,0.5,10,1844,98,31663,15
1423,13,0,46,21,49,5,1,1,107,39.0,1.22,0.5,2.44,0.034482758620689655,30,1005,88,17086,38
1464,0,1,35,31,39,6,2,4,107,54.0,2.8,1.8,1.5555555556,0.21212121212121213,12,1643,99,22451,27
1470,0,0,21,20,40,8,3,2,131,74.0,4.11,1.9,2.1631578947,0.2619047619047619,11,3389,98,29538,16
1489,1,0,0,0,0,0,0,0,95,49.0,1.15,0.4,2.875,0.125,16,3852,99,30810,11
1492,1,0,41,17,64,5,1,0,95,77.0,3.1,1.1,2.8181818182,0.21212121212121213,22,5717,99,55465,8
1495,51,0,28,38,37,1,10,3,167,49.0,5.95,1.0,5.95,0.16216216216216217,21,5733,99,33638,20
1499,0,0,43,37,20,5,8,1,83,61.0,3.3,1.9,1.7368421052999998,0.2222222222222222,17,2475,98,27547,19
1506,0,0,38,27,36,9,10,5,107,49.0,5.13,1.8,2.85,0.11428571428571428,34,479,13,12054,35
1537,4,0,32,30,10,9,3,2,95,26.0,1.05,0.4,2.625,0.16666666666666666,37,1577,81,20734,13
1539,0,6,43,35,60,8,0,3,95,44.0,0.75,0.3,2.5,0.08333333333333333,33,1411,99,14496,31
1541,0,0,0,0,0,0,0,0,83,86.0,4.04,1.2,3.3666666667,0.21428571428571427,4,2397,99,27740,14
1549,0,0,41,7,75,1,2,2,95,81.0,1.5,0.3,5.0,0.08333333333333333,33,5672,99,174523,5
1554,27,0,38,33,47,10,8,0,95,70.0,1.15,0.4,2.875,0.07692307692307693,31,2214,98,31520,9
1559,0,0,30,35,19,7,1,3,59,17.0,0.4,0.2,2.0,0.0,17,1816,84,28732,17
1565,29,0,0,0,0,0,0,0,95,36.0,2.75,0.4,6.875,0.14285714285714285,14,1134,84,14041,6
1579,11,1,39,32,33,11,1,2,95,49.0,1.15,0.4,2.875,0.14285714285714285,16,3008,99,24258,20
1584,0,0,0,0,0,0,0,0,119,27.0,2.69,2.5,1.076,0.28888888888888886,14,2345,98,8337,17
1588,7,0,29,27,33,5,1,1,59,57.0,1.75,0.5,3.5,0.1111111111111111,24,957,57,11755,30
1610,9,8,33,39,24,9,11,9,179,53.0,2.09,4.2,0.49761904762000003,0.6388888888888888,11,426,1,10898,24
1625,240,0,39,45,8,7,7,2,155,79.0,4.08,4.0,1.02,0.5,15,789,52,11529,20
1673,4,0,19,23,32,4,9,3,179,67.0,3.1,3.2,0.96875,0.43478260869565216,13,1348,77,12145,20
1680,0,0,6,21,34,12,6,0,83,69.0,1.35,0.5,2.7,0.10526315789473684,36,371,7,4832,35
1688,5,0,34,18,49,7,2,0,71,49.0,1.4,0.5,2.8,0.14285714285714285,28,5409,99,56349,13
1756,0,1,37,36,44,7,13,2,83,49.0,1.21,0.5,2.42,0.16,21,1706,99,40229,9
1788,2,0,25,21,18,5,5,3,179,49.0,3.79,4.1,0.9243902438999999,0.6666666666666666,46,360,1,11775,38
1797,44,0,46,40,47,1,7,7,179,69.0,4.68,5.3,0.88301886792,0.6341463414634146,32,940,79,14164,37
1810,1,0,0,0,0,0,0,0,71,53.0,2.03,0.8,2.5375,0.17647058823529413,8,1149,90,14564,20
1830,0,3,27,9,13,9,1,0,179,49.0,2.81,3.7,0.75945945946,0.5,22,700,24,12523,47
1842,0,0,26,13,49,5,2,1,59,49.0,0.53,0.2,2.65,0.14285714285714285,28,368,1,10869,40
1855,0,0,28,34,50,8,0,0,179,49.0,1.8,3.5,0.51428571429,0.5238095238095238,37,326,2,10581,32
1870,0,0,34,32,56,5,8,3,179,52.0,4.56,2.8,1.6285714285999995,0.4473684210526316,27,867,41,24831,15
1901,0,0,39,13,50,2,2,7,179,49.0,1.74,4.3,0.40465116279,0.5681818181818182,27,555,19,8558,30
1909,20,0,30,19,48,6,9,1,167,76.0,0.97,3.2,0.303125,0.4117647058823529,31,845,36,10179,22
1919,0,0,22,41,21,5,1,1,155,63.0,2.72,5.3,0.5132075471700001,0.5675675675675675,20,665,26,12050,46
1950,0,0,31,17,38,4,1,3,71,31.0,0.5,0.2,2.5,0.16666666666666666,9,2453,99,35813,13
1959,12,1,16,39,18,5,3,5,59,39.0,1.05,0.3,3.5,0.14285714285714285,4,2642,99,24896,7
1985,3,0,31,41,14,6,2,1,167,51.0,3.41,3.4,1.0029411765,0.6,11,1498,91,21052,23
2024,0,0,33,17,49,6,4,1,155,59.0,2.33,4.5,0.5177777777799999,0.4473684210526316,33,419,9,10382,38
2027,18,0,32,41,9,5,3,5,119,72.0,4.92,1.6,3.075,0.11764705882352941,8,685,16,13232,38
2040,0,0,22,28,31,3,4,1,179,68.0,1.515,3.7,0.40945945946,0.5121951219512195,25,442,4,9443,51
2049,0,3,44,43,18,8,4,11,143,79.0,1.75,3.3,0.5303030303,0.47058823529411764,13,1543,96,15634,28
2055,0,0,28,18,45,5,5,2,155,49.0,1.87,3.4,0.55,0.38095238095238093,32,331,4,11247,42
2094,2,1,18,23,37,4,1,1,59,49.0,1.5,0.3,5.0,0.13333333333333333,14,1972,99,28053,14
2100,0,0,31,40,11,2,0,0,179,81.0,4.08,3.8,1.0736842105,0.5806451612903226,11,1827,97,17958,35
2129,0,0,26,27,43,7,7,3,179,59.0,2.22,3.5,0.63428571429,0.45454545454545453,28,435,11,9871,37
2130,7,0,18,49,33,0,22,4,131,42.0,2.64,1.1,2.4,0.11538461538461539,23,417,4,7868,31
2151,0,0,0,0,0,0,0,0,155,47.0,8.32,4.0,2.08,0.5277777777777778,18,1206,87,8614,22
2154,1,0,43,12,53,11,1,1,179,77.0,2.91,1.5,1.94,0.3939393939393939,23,743,40,13780,48
2213,2,0,48,20,50,10,5,9,179,71.0,1.74,3.3,0.52727272727,0.30357142857142855,38,1528,97,20172,28
2229,0,0,26,19,51,5,9,2,131,71.0,1.155,2.4,0.48125,0.7368421052631579,26,660,32,9390,30
2320,13,0,32,3,58,12,3,1,131,16.0,1.19,3.1,0.38387096773999996,0.5483870967741935,43,637,23,14507,34
2333,0,2,32,44,24,5,2,10,71,49.0,0.8,0.3,2.6666666667,0.15384615384615385,13,693,29,12642,40
2373,27,1,37,19,58,3,10,2,107,73.0,1.9,0.6,3.1666666667,0.07692307692307693,17,868,50,14468,31
2400,0,0,27,38,30,6,0,1,179,77.0,3.91,3.9,1.0025641026,0.6153846153846154,18,1760,98,15091,25
2423,0,0,34,33,36,3,1,2,167,49.0,2.95,1.5,1.9666666667000001,0.2894736842105263,20,3127,99,27775,15
2512,0,0,0,0,0,0,0,0,59,71.0,0.5,0.2,2.5,0.09090909090909091,37,1342,88,25660,15
2516,6,0,16,50,0,7,0,0,143,27.0,1.51,3.2,0.471875,0.45161290322580644,19,400,10,14346,33
2562,0,0,29,21,16,7,16,2,167,49.0,4.14,2.6,1.5923076923,0.3333333333333333,14,776,49,11886,40
2612,0,0,24,59,3,3,3,2,83,49.0,1.56,0.5,3.12,0.14285714285714285,31,1812,97,34999,9
2698,2,2,47,49,19,5,0,6,131,64.0,3.37,1.0,3.37,0.2413793103448276,14,1020,87,16536,32
2729,1,2,32,26,43,4,2,2,179,59.0,3.2607,3.2,1.01896875,0.375,32,2587,99,36514,31
2854,0,0,32,24,49,6,1,0,179,67.0,2.68,4.5,0.59555555556,0.631578947368421,34,366,7,10273,49
2859,0,0,34,26,63,7,1,0,167,49.0,0.91,3.2,0.284375,0.43333333333333335,16,3313,99,18890,23
2868,0,0,24,16,39,5,1,1,179,16.0,0.98,2.3,0.42608695652,0.36363636363636365,26,1576,98,11856,34
2872,0,0,47,2,73,10,2,6,71,83.0,0.85,0.3,2.8333333333,0.15384615384615385,12,1320,97,25590,20
2912,17,4,35,31,26,8,3,8,131,43.0,8.22,2.2,3.7363636364,0.3103448275862069,15,715,34,14510,30
2930,25,4,85,34,83,0,0,14,179,85.0,6.1606,2.8,2.2002142857,0.4864864864864865,68,1396,93,39602,12
2943,0,0,32,33,32,4,1,1,167,77.0,1.455,2.8,0.51964285714,0.6428571428571429,17,1859,99,30081,16
2971,10,0,17,24,24,5,0,1,167,7.0,2.61,2.1,1.2428571429000002,0.36666666666666664,29,682,22,10716,40
2977,0,1,34,20,53,8,2,2,179,80.0,5.09,3.6,1.4138888889,0.34375,20,4000,99,29835,14
2989,0,0,27,23,25,5,2,0,71,17.0,0.95,0.4,2.375,0.1,19,905,69,20048,39
3038,0,0,9,36,31,9,5,0,59,49.0,1.06,0.2,5.3,0.0,9,359,2,3802,31
3066,5,0,28,40,50,11,6,6,59,75.0,0.85,0.3,2.8333333333,0.125,29,2341,98,23351,31
3089,0,0,39,19,58,5,1,1,179,49.0,2.59,3.1,0.8354838709700001,0.5172413793103449,39,1356,86,19039,35
3154,1,0,38,31,37,7,20,4,179,49.0,1.805,3.2,0.5640625,0.4411764705882353,27,0,0,12836,19
3213,2,0,26,9,50,2,6,0,179,84.0,2.98,4.1,0.7268292682899999,0.5,41,704,32,10325,32
3215,0,0,35,17,50,5,0,4,131,76.0,1.85,0.6,3.0833333333,0.125,19,1705,99,29919,13
3269,0,0,30,30,7,3,1,3,155,57.0,3.06,1.4,2.1857142857,0.22580645161290322,13,1333,97,15587,31
3272,2,0,47,46,32,4,4,13,179,77.0,5.86,3.0,1.9533333332999998,0.45714285714285713,15,2632,99,23901,22
3288,0,0,0,0,0,0,0,0,155,71.0,2.76,2.7,1.0222222222000001,0.41379310344827586,37,1463,79,15512,30
3293,9,0,38,29,29,9,21,3,131,49.0,3.14,0.5,6.279999999999999,0.08333333333333333,21,1016,57,20064,11
3295,0,0,37,28,34,7,4,2,131,49.0,4.25,0.7,6.0714285714,0.13043478260869565,22,771,34,9809,36
3299,0,0,0,0,0,0,0,0,167,69.0,3.35,1.3,2.5769230769,0.28125,43,451,6,12501,23
3302,0,0,26,16,28,8,3,0,71,65.0,1.5,0.2,7.5,0.1,25,497,19,8139,26
3303,4,1,27,25,33,5,1,3,131,71.0,2.82,1.3,2.1692307691999995,0.28,16,1073,86,17842,27
3362,4,0,19,21,32,4,2,0,179,16.0,3.0,1.4,2.1428571429,0.2962962962962963,26,375,0,10313,36
3402,20,0,53,9,74,0,0,18,179,77.0,1.32,2.5,0.528,0.7272727272727273,53,833,65,19766,31
3408,0,0,29,38,33,6,1,2,179,61.0,1.5056,4.7,0.32034042553000003,0.625,27,518,16,11030,41
3413,12,0,28,48,22,9,14,6,71,58.0,0.5,0.2,2.5,0.1111111111111111,18,732,31,13632,27
3424,15,1,26,44,11,7,4,1,59,73.0,0.7,0.2,3.5,0.14285714285714285,3,863,74,16731,21
3429,0,0,28,22,22,7,2,1,179,73.0,1.02,2.7,0.37777777778,0.7333333333333333,26,488,17,12166,42
3439,0,1,29,29,38,7,3,3,83,67.0,1.8,0.7,2.5714285714000007,0.11764705882352941,13,1235,78,15002,25
3487,0,0,38,50,23,5,9,5,107,73.0,1.4,0.5,2.8,0.23529411764705882,10,799,42,17213,35
3513,3,0,43,17,31,9,3,2,59,75.0,0.5,0.2,2.5,0.0,25,826,53,22240,30
3518,1,0,32,39,26,2,5,1,119,59.0,1.47,0.6,2.45,0.25,12,849,49,12673,32
3548,24,0,25,4,53,6,17,4,71,38.0,0.75,0.3,2.5,0.1111111111111111,38,721,34,19569,19
3559,0,0,11,35,7,7,1,0,131,6.0,1.68,0.8,2.1,0.21739130434782608,30,965,90,11928,29
3570,0,0,43,22,42,12,0,15,179,73.0,3.0,1.9,1.5789473684000002,0.2571428571428571,24,629,24,16542,34
3612,0,0,32,6,83,0,3,4,131,17.0,1.08,1.0,1.08,0.21739130434782608,43,1544,79,40044,23
3632,1,0,29,17,53,2,5,6,83,7.0,3.55,1.1,3.2272727273,0.2222222222222222,20,1548,97,24035,18
3683,0,1,34,48,14,4,4,3,179,72.0,2.84,4.0,0.71,0.7428571428571429,15,1014,60,13305,27
3699,0,1,30,39,29,9,4,5,59,55.0,0.5,0.2,2.5,0.0,22,631,31,11420,42
3718,0,0,25,35,38,11,3,5,179,49.0,7.75,1.8,4.3055555556,0.2857142857142857,26,887,57,28063,9
